Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	0	0.363	0	0	0
YAL067W-A	chrI	2480	2707	+	228	0	0.228	0	0	0
YAL067C	chrI	7013	9049	-	2037	452	2.037	221.894943544428	12.9557968276528	6.3602340832856
YAL066W	chrI	9807	10460	+	654	34	0.654	51.9877675840979	0.974551088805739	1.49013927951948
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	1299	3.839	338.369367022662	37.2335842458428	9.6987716191307
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	13	0.285	45.6140350877193	0.372622475131606	1.30744728116353
YAL063C-A	chrI	22051	23617	-	1567	381	1.567	243.139757498405	10.9207048480878	6.96917986476569
YAL063C	chrI	24000	27968	-	3969	2121	3.969	534.391534391534	60.7947899810874	15.3174074026423
YAL062W	chrI	31527	33039	+	1513	2395	1.513	1582.94778585592	68.6485252261689	45.3724555361328
YAL061W	chrI	33345	35113	+	1769	1228	1.769	694.177501413228	35.1984922662779	19.8973952890208
YAL060W	chrI	34983	36433	+	1451	4432	1.451	3054.44521019986	127.03560075256	87.5503795675808
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	775	0.882	878.684807256236	22.2140321713073	25.185977518489
YAL058W	chrI	37405	39163	+	1759	2580	1.759	1466.74246731097	73.9512296799649	42.0416314269272
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	4520	2.845	1588.75219683656	129.557968276528	45.5388289196934
YAL055W	chrI	42142	42884	+	743	495	0.743	666.21803499327	14.1883173223188	19.0959856289621
YAL054C	chrI	42713	45073	-	2361	1547	2.361	655.230834392207	44.3420745406611	18.7810565610593
YAL053W	chrI	45675	48312	+	2638	14041	2.638	5322.59287338893	402.460936409452	152.562902353848
