Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C_mRNA	PAU8	chrI	-	1807	2169	0.842975	0.153854	0.279558
YAL067C_id001	SEO1	chrI	-	7235	9016	18.340069	3.347296	6.082164
YAL066W_id001	-	chrI	+	10091	10399	0.588997	0.107499	0.195331
YAL065C_mRNA	-	chrI	-	11565	11951	30.937984	5.646576	10.260043
YAL064W-B_id001	-	chrI	+	12046	12426	35.480316	6.475609	11.766429
YAL064C-A_mRNA	TDA8	chrI	-	13363	13743	36.661419	6.691175	12.158121
YAL064W_mRNA	-	chrI	+	21566	21850	4.298245	0.784484	1.425438
YAL063C-A	-	chrI	-	22051	23617	20.924053	3.818906	6.939098
YAL063C-A_id006	-	chrI	-	22395	22685	0.154660	0.028227	0.051290
YAL063C_mRNA	FLO9	chrI	-	24000	27968	45.034267	8.219326	14.934831
YAL062W	GDH3	chrI	+	31527	33039	107.735977	19.663185	35.728760
YAL062W_id003	GDH3	chrI	+	31567	32940	1.351869	0.246733	0.448324
YAL061W	BDH2	chrI	+	33345	35018	39.380665	7.187472	13.059911
YAL061W_id001	BDH2	chrI	+	33448	34701	6.384974	1.165339	2.117465
YAL060W	BDH1	chrI	+	35107	36433	127.885170	23.340672	42.410889
YAL060W_id001	BDH1	chrI	+	35155	36303	143.136963	26.124317	47.468880
YAL059W	ECM1	chrI	+	36466	37344	264.257385	48.230335	87.636360
YAL059C-A_mRNA	-	chrI	-	36496	36918	0.000000	0.000000	0.000000
YAL059W_id001	ECM1	chrI	+	36509	37147	151.076309	27.573347	50.101826
YAL058W	CNE1	chrI	+	37405	39163	134.623779	24.570553	44.645630
YAL058W_id003	CNE1	chrI	+	37464	38972	77.152939	14.081392	25.586428
YAL056C-A_mRNA	-	chrI	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	chrI	+	39234	42040	76.146912	13.897779	25.252796
YAL056W_id001	GPB2	chrI	+	39259	41901	68.686943	12.536241	22.778828
YAL055W	PEX22	chrI	+	42142	42838	42.907124	7.831096	14.229401
YAL055W_id001	PEX22	chrI	+	42177	42719	22.601721	4.125102	7.495467
YAL054C_id001	ACS1	chrI	-	42881	45022	67.959381	12.403452	22.537546
YAL053W	FLC2	chrI	+	45728	48310	239.102280	43.639206	79.294106
YAL053W_id001	FLC2	chrI	+	45899	48250	192.628738	35.157196	63.881966
YAL051W_mRNA	OAF1	chrI	+	48564	51707	107.850754	19.684134	35.766823
YAL049C	AIM2	chrI	-	51691	54082	149.406113	27.268515	49.547935
YAL049C_id002	AIM2	chrI	-	51855	52595	133.322525	24.333055	44.214092
YAL048C_mRNA	GEM1	chrI	-	52801	54789	45.384758	8.283296	15.051064
YAL047W-A	-	chrI	+	54209	55063	9.280452	1.693800	3.077700
YAL047W-A_id002	-	chrI	+	54584	54913	0.081438	0.014863	0.027007
YAL047C	SPC72	chrI	-	54931	56886	21.721315	3.964416	7.203496
YAL047C_id002	SPC72	chrI	-	54989	56857	40.558559	7.402453	13.450540
YAL046C	BOL3	chrI	-	56907	57544	39.868950	7.276590	13.221842
YAL044W-A	BOL1	chrI	+	56973	57958	88.271767	16.110720	29.273794
YAL046C_id002	BOL3	chrI	-	57029	57385	64.329742	11.740996	21.333839
