Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C_mRNA	PAU8	chrI	-	1807	2169	0.280992	0.046797	0.079245
YAL067W-A_mRNA	-	chrI	+	2480	2707	0.342105	0.056975	0.096480
YAL067C_id001	SEO1	chrI	-	7235	9016	26.135241	4.352640	7.370646
YAL066W_id001	-	chrI	+	10091	10399	3.045307	0.507174	0.858836
YAL065C_mRNA	-	chrI	-	11565	11951	33.909561	5.647398	9.563155
YAL064W-B_id001	-	chrI	+	12046	12426	39.346458	6.552875	11.096466
YAL064C-A_mRNA	TDA8	chrI	-	13363	13743	43.270340	7.206370	12.203076
YAL064W_mRNA	-	chrI	+	21566	21850	2.522807	0.420156	0.711481
YAL063C-A	-	chrI	-	22051	23617	31.162773	5.189940	8.788507
YAL063C-A_id006	-	chrI	-	22395	22685	0.089121	0.014842	0.025134
YAL063C_mRNA	FLO9	chrI	-	24000	27968	58.340893	9.716264	16.453264
YAL062W	GDH3	chrI	+	31527	33039	131.949051	21.975183	37.212196
YAL062W_id003	GDH3	chrI	+	31567	32940	1.249712	0.208131	0.352443
YAL061W	BDH2	chrI	+	33345	35018	79.882240	13.303823	22.528343
YAL061W_id001	BDH2	chrI	+	33448	34701	0.846192	0.140927	0.238643
YAL060W	BDH1	chrI	+	35107	36433	180.414429	30.046749	50.880375
YAL060W_id001	BDH1	chrI	+	35155	36303	156.180206	26.010710	44.045853
YAL059W	ECM1	chrI	+	36466	37344	226.853683	37.780880	63.977146
YAL059C-A_mRNA	-	chrI	-	36496	36918	0.000000	0.000000	0.000000
YAL059W_id001	ECM1	chrI	+	36509	37147	47.964939	7.988222	13.527045
YAL058W	CNE1	chrI	+	37405	39163	115.416290	19.221769	32.549637
YAL058W_id003	CNE1	chrI	+	37464	38972	88.005798	14.656744	24.819345
YAL056C-A_mRNA	-	chrI	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	chrI	+	39234	42040	76.350449	12.715628	21.532310
YAL056W_id001	GPB2	chrI	+	39259	41901	77.605110	12.924583	21.886150
YAL055W	PEX22	chrI	+	42142	42838	46.410152	7.729283	13.088565
YAL055W_id001	PEX22	chrI	+	42177	42719	36.760822	6.122255	10.367267
YAL054C_id001	ACS1	chrI	-	42881	45022	78.370682	13.052084	22.102055
YAL053W	FLC2	chrI	+	45728	48310	401.474365	66.862717	113.223572
YAL053W_id001	FLC2	chrI	+	45899	48250	299.196320	49.829033	84.379173
YAL051W_mRNA	OAF1	chrI	+	48564	51707	132.948944	22.141708	37.494186
YAL049C	AIM2	chrI	-	51691	54082	185.392670	30.875841	52.284336
YAL049C_id002	AIM2	chrI	-	51855	52595	133.148666	22.174971	37.550510
YAL048C_mRNA	GEM1	chrI	-	52801	54789	64.585991	10.756341	18.214504
YAL047W-A	-	chrI	+	54209	55063	12.060178	2.008537	3.401205
YAL047W-A_id002	-	chrI	+	54584	54913	0.522864	0.087079	0.147458
YAL047C	SPC72	chrI	-	54931	56886	27.410995	4.565108	7.730433
YAL047C_id002	SPC72	chrI	-	54989	56857	37.313911	6.214369	10.523249
YAL046C	BOL3	chrI	-	56907	57544	58.946590	9.817138	16.624084
YAL044W-A	BOL1	chrI	+	56973	57958	94.050400	15.663430	26.524040
YAL046C_id002	BOL3	chrI	-	57029	57385	74.390785	12.389259	20.979647
YAL045C_mRNA	-	chrI	-	57488	57796	70.213615	11.693582	19.801603
YAL044W-A_id001	BOL1	chrI	+	57518	57850	133.087738	22.164824	37.533329
YAL044C	GCV3	chrI	-	57756	58476	587.760681	97.887390	165.759933
YAL044C_id001	GCV3	chrI	-	57950	58462	174.772293	29.107090	49.289181
YAL043C	PTA1	chrI	-	58499	61068	115.534180	19.241402	32.582882
YAL043C_id002	PTA1	chrI	-	58695	61052	112.483101	18.733267	31.722422
YAL042C-A_mRNA	-	chrI	-	61231	61608	12.148954	2.023323	3.426241
YAL042W	ERV46	chrI	+	61269	62680	457.100037	76.126785	128.911087
YAL042W_id005	ERV46	chrI	+	61316	62563	563.466736	93.841408	158.908569
YAL041W	CDC24	chrI	+	62773	65463	119.543259	19.909086	33.713520
YAL041W_id001	CDC24	chrI	+	62840	65404	92.870605	15.466944	26.191317
YAL040C	CLN3	chrI	-	65596	67848	178.286285	29.692322	50.280197
YAL040C_id001	CLN3	chrI	-	65778	67836	0.000000	0.000000	0.000000
YAL039C	CYC3	chrI	-	68629	69642	247.388626	41.200829	69.768402
YAL039C_id001	CYC3	chrI	-	68716	69525	107.128326	17.841467	30.212271
YAL038W	CDC19	chrI	+	71644	73448	7504.544434	1249.828979	2116.427246
YAL038W_id001	CDC19	chrI	+	71786	73288	17121.472656	2851.460449	4828.587891
YAL037C-B_mRNA	-	chrI	-	72326	73300	0.000000	0.000000	0.000000
YAL037C-A_id001	-	chrI	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	-	chrI	+	73453	76400	279.497040	46.548260	78.823593
YAL037W_id002	-	chrI	+	74020	74823	0.747645	0.124515	0.210850
YAL036C	RBG1	chrI	-	74778	76207	0.000000	0.000000	0.000000
YAL036C_id001	RBG1	chrI	-	75043	76152	0.000000	0.000000	0.000000
YAL035W	FUN12	chrI	+	76365	79559	344.668427	57.402096	97.203194
YAL035W_id002	FUN12	chrI	+	76427	79435	234.307709	39.022297	66.079330
YAL034C-B_id001	-	chrI	-	79489	79842	2.714386	0.452062	0.765510
YAL034W-A	MTW1	chrI	+	79674	80744	18.794436	3.130080	5.300396
YAL034W-A_id002	MTW1	chrI	+	79718	80587	20.668262	3.442153	5.828852
YAL034C	FUN19	chrI	-	80549	82586	105.899590	17.636829	29.865742
YAL034C_id001	FUN19	chrI	-	80710	81951	14.634865	2.437333	4.127316
YAL033W	POP5	chrI	+	82701	83397	163.347824	27.204428	46.067261
YAL033W_id001	POP5	chrI	+	82706	83227	57.157879	9.519241	16.119633
YAL032C	PRP45	chrI	-	83192	84504	117.192299	19.517551	33.050503
YAL032C_id001	PRP45	chrI	-	83335	84474	8.236558	1.371741	2.322869
YAL031C	GIP4	chrI	-	84587	87031	67.086227	11.172737	18.919621
YAL031W-A_mRNA	-	chrI	+	84669	84977	0.000000	0.000000	0.000000
YAL031C_id001	GIP4	chrI	-	84749	87031	38.675499	6.441131	10.907243
YAL030W	SNC1	chrI	+	87264	88013	238.746063	39.761471	67.331032
YAL030W_id001	SNC1	chrI	+	87286	87752	0.000000	0.000000	0.000000
YAL029C_mRNA	MYO4	chrI	-	87855	92270	297.675385	49.575733	83.950241
YAL028W	FRT2	chrI	+	92852	94566	30.553513	5.088472	8.616684
YAL028W_id001	FRT2	chrI	+	92900	94486	11.327493	1.886514	3.194573
YAL027W	SAW1	chrI	+	94595	95583	40.195362	6.694254	11.335874
YAL027W_id002	SAW1	chrI	+	94687	95472	30.385546	5.060498	8.569314
YAL026C-A_mRNA	-	chrI	-	95386	95823	31.053635	5.171764	8.757729
YAL026C_mRNA	DRS2	chrI	-	95630	99697	264.163940	43.994637	74.499359
YNCA0001W_ncRNA	HRA1	chrI	+	99305	99868	47.387115	7.891990	13.364087
YAL025C	MAK16	chrI	-	99939	101168	160.776825	26.776245	45.342190
YAL025C_id002	MAK16	chrI	-	100225	101145	74.026627	12.328611	20.876945
YAL024C_mRNA	LTE1	chrI	-	101565	105872	94.913414	15.807158	26.767427
YAL023C	PMT2	chrI	-	106143	108671	961.695618	160.163620	271.216858
YAL023C_id001	PMT2	chrI	-	106272	108551	251.347290	41.860115	70.884819
YAL022C	FUN26	chrI	-	108732	110471	143.625778	23.919859	40.505260
YAL022C_id002	FUN26	chrI	-	108877	110430	104.387482	17.384998	29.439297
YAL021C	CCR4	chrI	-	110536	113403	224.597961	37.405205	63.340992
YAL021C_id001	CCR4	chrI	-	110846	113359	64.362808	10.719172	18.151562
YAL020C	ATS1	chrI	-	113468	114624	122.661804	20.428457	34.593014
YAL020C_id002	ATS1	chrI	-	113614	114615	65.536224	10.914596	18.482489
YAL019W-A_mRNA	-	chrI	+	114250	114819	12.864944	2.142566	3.628164
YAL019W_id001	FUN30	chrI	+	114919	118314	232.090393	38.653015	65.454002
YAL018C_id001	LDS1	chrI	-	118564	119541	7.507157	1.250264	2.117164
YAL017W_mRNA	PSK1	chrI	+	120225	124295	184.578979	30.740326	52.054859
YAL016C-B_mRNA	-	chrI	-	124307	124492	21.096773	3.513519	5.949700
YAL016C-A_mRNA	-	chrI	-	124755	125069	14.537951	2.421193	4.099985
YAL016W	TPD3	chrI	+	124786	126883	372.073364	61.966190	104.931923
YAL016W_id002	TPD3	chrI	+	124879	126786	77.020943	12.827295	21.721403
YAL015C	NTG1	chrI	-	126756	128110	67.382530	11.222085	19.003181
YAL015C_id002	NTG1	chrI	-	126903	128102	121.169052	20.179850	34.172028
YAL014C	SYN8	chrI	-	128031	129072	155.476395	25.893496	43.847366
YAL014C_id005	SYN8	chrI	-	128252	129019	88.315178	14.708269	24.906595
YAL013W	DEP1	chrI	+	129194	130583	46.861931	7.804523	13.215976
YAL013W_id002	DEP1	chrI	+	129270	130487	27.898127	4.646236	7.867814
YAL012W	CYS3	chrI	+	130686	132100	1143.074219	190.370941	322.369141
YAL012W_id001	CYS3	chrI	+	130799	131983	377.990692	62.951679	106.600716
YAL011W	SWC3	chrI	+	132169	134210	32.412560	5.398083	9.140972
YAL011W_id003	SWC3	chrI	+	132199	134076	27.509403	4.581497	7.758186
YAL010C	MDM10	chrI	-	134001	135688	84.052315	13.998319	23.704386
YAL010C_id004	MDM10	chrI	-	134184	135665	19.043886	3.171625	5.370746
YAL009W	SPO7	chrI	+	135408	136766	78.394753	13.056092	22.108843
YAL009W_id006	SPO7	chrI	+	135854	136633	73.406525	12.225338	20.702066
YAL008W	FUN14	chrI	+	136815	137718	206.069183	34.319366	58.115513
YAL008W_id001	FUN14	chrI	+	136914	137510	93.462303	15.565487	26.358185
YAL007C	ERP2	chrI	-	137408	138414	7.677066	1.278561	2.165082
YAL004W	-	chrI	+	137649	142140	5108.524902	850.788757	1440.703369
YAL007C_id001	ERP2	chrI	-	137698	138345	0.447813	0.074580	0.126292
YNCA0002W_tRNA	TRN1	chrI	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	chrI	-	139381	141684	4.622837	0.769901	1.303730
YAL005C_id001	SSA1	chrI	-	139503	141431	91.995331	15.321173	25.944469
YAL004W_id002	-	chrI	+	140760	141407	0.193229	0.032181	0.054494
YAL003W	EFB1	chrI	+	142141	143496	2947.261719	490.845612	831.185059
YAL003W_id001	EFB1	chrI	+	142174	143160	0.000000	0.000000	0.000000
YNCA0003W_snoRNA	SNR18	chrI	+	142367	142468	0.146345	0.024373	0.041272
YAL002W_id001	VPS8	chrI	+	143707	147531	203.137772	33.831161	57.288799
YAL001C_mRNA	TFC3	chrI	-	147594	151166	108.407692	18.054537	30.573074
YAR002W	NUP60	chrI	+	152215	154114	126.813248	21.119852	35.763802
YAR002W_id002	NUP60	chrI	+	152257	153876	71.781403	11.954685	20.243750
YAR002C-A	ERP1	chrI	-	153808	154750	544.155762	90.625298	153.462509
YAR002C-A_id001	ERP1	chrI	-	154065	154724	866.778870	144.355896	244.448486
YAR003W	SWD1	chrI	+	154958	156909	102.639137	17.093824	28.946230
YAR003W_id002	SWD1	chrI	+	155005	156285	40.410961	6.730160	11.396676
YAR007C	RFA1	chrI	-	156681	158698	94.510696	15.740088	26.653852
YAR007C_id001	RFA1	chrI	-	156754	158619	60.682419	10.106229	17.113621
