Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	0	0.363	0	0	0
YAL067W-A	chrI	2480	2707	+	228	0	0.228	0	0	0
YAL067C	chrI	7013	9049	-	2037	505	2.037	247.913598429062	13.8174145499619	6.78321774666759
YAL066W	chrI	9807	10460	+	654	42	0.654	64.2201834862385	1.14917111108594	1.75714237169104
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	1195	3.839	311.278978900755	32.696654232088	8.5169716676447
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	30	0.285	105.263157894737	0.820836507918528	2.88012809795975
YAL063C-A	chrI	22051	23617	-	1567	242	1.567	154.435226547543	6.62141449720946	4.2255357352964
YAL063C	chrI	24000	27968	-	3969	1942	3.969	489.292013101537	53.1354832792594	13.3876249128897
YAL062W	chrI	31527	33039	+	1513	1486	1.513	982.154659616656	40.6587683588977	26.8729467011882
YAL061W	chrI	33345	35113	+	1769	1394	1.769	788.015828151498	38.1415364012809	21.5610720188134
YAL060W	chrI	34983	36433	+	1451	8588	1.451	5918.67677463818	234.978131000144	161.942199173083
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	786	0.882	891.156462585034	21.5059165074654	24.3831252919109
YAL058W	chrI	37405	39163	+	1759	2250	1.759	1279.13587265492	61.5627380938896	34.998714095446
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	4878	2.845	1714.58699472759	133.468016187553	46.9131867091573
YAL055W	chrI	42142	42884	+	743	457	0.743	615.07402422611	12.5040761372922	16.8291738052385
YAL054C	chrI	42713	45073	-	2361	1571	2.361	665.396018636171	42.9844717980002	18.2060448106735
YAL053W	chrI	45675	48312	+	2638	19246	2.638	7295.67854435178	526.593981046666	199.618643308061
