target_id	length	eff_length	est_counts	tpm
YAL069W_mRNA	315	152.036	0	0
YAL068W-A_mRNA	255	99.1761	2	0.553796
YAL068C_mRNA	363	197.258	0	0
YAL067W-A_mRNA	228	77.7478	1	0.353215
YAL067C_id001	1782	1614.34	283	4.81414
YAL066W_id001	309	146.494	10	1.87459
YAL065C_mRNA	387	220.419	51.6593	6.43614
YAL064W-B_id001	381	214.659	40.9096	5.23364
YAL064C-A_mRNA	381	214.659	85.2049	10.9004
YAL064W_mRNA	285	124.7	60	13.2133
YAL063C-A_id001	1567	1399.34	792	15.5428
YAL063C-A_id006	291	130.105	0	0
YAL063C_mRNA	3969	3801.34	1551.77	11.2103
YAL062W_id001	1513	1345.34	793.654	16.2004
YAL062W_id003	1374	1206.34	350.346	7.97545
YAL061W_id003	1674	1506.34	602.536	10.9847
YAL061W_id001	1254	1086.34	167.464	4.23334
YAL060W_id014	1327	1159.34	1862.76	44.1238
YAL060W_id001	1149	981.34	538.241	15.0621
YAL059W_id002	879	711.34	583.891	22.5415
YAL059C-A_mRNA	423	255.949	0	0
YAL059W_id001	639	471.339	745.109	43.4123
YAL058W_id001	1759	1591.34	1381.28	23.8367
YAL058W_id003	1509	1341.34	512.717	10.497
YAL056C-A_mRNA	351	185.836	0	0
YAL056W_id006	2807	2639.34	1190.92	12.3912
YAL056W_id001	2643	2475.34	1188.08	13.1807
YAL055W_id003	697	529.34	127.25	6.60164
YAL055W_id001	543	375.426	163.75	11.978
YAL054C_id001	2142	1974.34	1041	14.4796
YAL053W_id003	2583	2415.34	8458.92	96.1753
YAL053W_id001	2352	2184.34	1494.08	18.7837
YAL051W_mRNA	3144	2976.34	2297	21.1936
YAL049C_id001	2392	2224.34	1773.89	21.9004
YAL049C_id002	741	573.34	1219.77	58.4242
YAL048C_mRNA	1989	1821.34	786.312	11.8558
YAL047W-A_id001	855	687.34	70.3999	2.81273
YAL047W-A_id002	330	166.077	10.6337	1.75833
YAL047C_id001	1956	1788.34	616.585	9.46825
YAL047C_id002	1869	1701.34	82.4154	1.33028
YAL046C_id001	638	470.339	155.081	9.05469
YAL044W-A_id004	986	818.34	487.225	16.3502
YAL046C_id002	357	191.532	320.813	45.9979
YAL045C_mRNA	309	146.494	13.873	2.60062
YAL044W-A_id001	333	168.856	488.729	79.4838
YAL044C_id002	721	553.34	2012.76	99.891
YAL044C_id001	513	345.426	750.523	59.6673
YAL043C_id001	2570	2402.34	1790.42	20.4667
YAL043C_id002	2358	2190.34	1398.58	17.5348
YAL042C-A_mRNA	378	211.723	139.681	18.1174
YAL042W_id001	1412	1244.34	5167.49	114.043
YAL042W_id005	1248	1080.34	2519.83	64.0528
YAL041W_id003	2691	2523.34	3177	34.5755
YAL041W_id001	2565	2397.34	0.00112249	1.28582e-05
YAL040C_id003	2253	2085.34	2293	30.1963
YAL040C_id001	1755	1587.34	0	0
YAL039C_id002	1014	846.34	1935	62.7861
YAL039C_id001	810	642.34	0	0
YAL038W_id004	1805	1637.34	57637.6	966.706
YAL038W_id001	1503	1335.34	164863	3390.47
YAL037C-B_mRNA	975	807.34	0	0
YAL037C-A_id001	93	39.2	0	0
YAL037W_id001	2948	2780.34	466.722	4.60986
YAL037W_id002	804	636.34	207.181	8.94103
YAL036C_id004	1430	1262.34	3251.64	70.7381
YAL036C_id001	1110	942.34	779.456	22.7149
YAL035W_id001	3195	3027.34	5989.57	54.3328
YAL035W_id002	3009	2841.34	4361.43	42.1534
YAL034C-B_id001	354	188.704	10.8547	1.57966
YAL034W-A_id001	1071	903.34	195.479	5.94258
YAL034W-A_id002	870	702.34	38.8422	1.51874
YAL034C_id002	2038	1870.34	1316.82	19.3345
YAL034C_id001	1242	1074.34	0.00466622	0.000119275
YAL033W_id003	697	529.34	291.683	15.1323
YAL033W_id001	522	354.426	562.7	43.5992
YAL032C_id008	1313	1145.34	573.444	13.7494
YAL032C_id001	1140	972.34	317.173	8.95788
YAL031C_id003	2445	2277.34	1404.9	16.9412
YAL031W-A_mRNA	309	146.494	18.6112	3.48883
YAL031C_id001	2283	2115.34	1.48674	0.0193011
YAL030W_id002	750	582.34	507.356	23.9257
YAL030W_id001	354	188.704	611.342	88.9672
YAL029C_mRNA	4416	4248.34	7341.3	47.4549
