Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	0	0.363	0	0	0
YAL067W-A	chrI	2480	2707	+	228	2	0.228	8.7719298245614	0.0513093096817255	0.225040831937393
YAL067C	chrI	7013	9049	-	2037	584	2.037	286.696121747668	14.9823184270639	7.3550900476504
YAL066W	chrI	9807	10460	+	654	52	0.654	79.5107033639144	1.33404205172486	2.03981965095545
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	1433	3.839	373.274290179734	36.7631203869563	9.57622307552913
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	14	0.285	49.1228070175439	0.359165167772079	1.2602286588494
YAL063C-A	chrI	22051	23617	-	1567	557	1.567	355.456285896618	14.2896427463606	9.11910832569276
YAL063C	chrI	24000	27968	-	3969	2601	3.969	655.328798185941	66.727757241084	16.8122341247377
YAL062W	chrI	31527	33039	+	1513	2462	1.513	1627.23066754792	63.1617602182041	41.7460411224085
YAL061W	chrI	33345	35113	+	1769	1505	1.769	850.763143018655	38.6102555354985	21.8260347854711
YAL060W	chrI	34983	36433	+	1451	4689	1.451	3231.5644383184	120.294676548805	82.9046702610651
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	708	0.882	802.721088435374	18.1634956273308	20.5935324572912
YAL058W	chrI	37405	39163	+	1759	3057	1.759	1737.91927231381	78.4262798485175	44.5857190724943
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	4750	2.845	1669.59578207381	121.859610494098	42.832903512864
YAL055W	chrI	42142	42884	+	743	535	0.743	720.053835800808	13.7252403398616	18.472732624309
YAL054C	chrI	42713	45073	-	2361	1869	2.361	791.613722998729	47.9485498975725	20.3085768308227
YAL053W	chrI	45675	48312	+	2638	19838	2.638	7520.09097801365	508.937042733036	192.925338412826
