"","logFC","logCPM","F","PValue","FDR"
"YGL009C",-2.96045422850752,8.75094704485554,758.749704860212,2.54744983457963e-10,1.6683248966662e-06
"YFL014W",4.10526826463747,10.047761913738,521.35608584469,1.45567225952228e-09,3.56708417236623e-06
"YGL121C",2.76794007132747,4.77904949665045,508.50465611711,1.63402848024106e-09,3.56708417236623e-06
"YER103W",2.12242400339276,10.0090452483819,455.239098144338,2.72526600900845e-09,4.45109173162768e-06
"YIL015W",-2.13505076464392,8.0097985346764,432.426966775687,3.45562373487055e-09,4.45109173162768e-06
"YFL026W",-2.45393683961623,8.39164333589764,411.257627919886,4.35619285752904e-09,4.45109173162768e-06
"YOR338W",2.15906542508698,6.6052625577817,394.830276263265,5.25675445262464e-09,4.45109173162768e-06
"YHR216W",-1.77543527161071,6.92273599631433,375.558455298646,6.61917332372798e-09,4.45109173162768e-06
"YIL121W",-1.4118277384403,6.12819669200471,374.669053395701,6.69181027733047e-09,4.45109173162768e-06
"YBR072W",3.43463430445335,10.5013022373066,372.332079815725,6.88732778969982e-09,4.45109173162768e-06
"YNL145W",-1.66500772051962,7.44978472100548,365.750843193292,7.47625729850427e-09,4.45109173162768e-06
"YLR452C",-1.6849351086438,7.2679060698329,352.674934441842,8.8386084251992e-09,4.82367054805246e-06
"YGR032W",2.5037506305415,9.48054431764366,318.807351983313,1.40494477226893e-08,6.5556388461277e-06
"YER062C",1.63179668512578,7.45163491816395,312.918514923855,1.53028536902659e-08,6.5556388461277e-06
"YDL021W",2.42090271588368,4.71960791515422,310.781756967892,1.5793839921029e-08,6.5556388461277e-06
"YBR012C",1.94502009320755,4.30877181675625,309.833552204413,1.60162195049692e-08,6.5556388461277e-06
"YIR027C",2.29908576435649,4.07309243574649,304.960606995844,1.7225269096513e-08,6.63578160665082e-06
"YKL120W",-2.21757724559202,6.29827752224902,298.065202131622,1.91200452401508e-08,6.67957113802891e-06
"YPL222W",1.19459023965289,5.45560043005715,294.126339600858,2.03200377164161e-08,6.67957113802891e-06
"YPR007C",3.00346845583094,2.56661341618827,294.032080685018,2.03987513758708e-08,6.67957113802891e-06
"YGR043C",2.77168535316739,4.63785884401571,288.067114114685,2.23595151593498e-08,6.9729745132658e-06
"YBR054W",2.96214405511405,8.51480762436364,277.147610810294,2.66655189623567e-08,7.93784016747608e-06
"YJR078W",4.16743836130233,4.83518898059259,268.502636121066,3.08313573439467e-08,8.77889388023942e-06
"YLR420W",-1.29606676886331,6.79854731179228,256.060229858322,3.8257129042472e-08,1.04394140874645e-05
"YJR016C",-1.7016088464845,9.4779630536166,242.836237206365,4.8699798630944e-08,1.27573992493621e-05
"YGR055W",-1.91278969382701,7.56185397160258,238.480281318616,5.28766624553685e-08,1.33188177853926e-05
"YOR185C",1.26478445711453,6.1081432376552,236.227453429655,5.52072157455946e-08,1.33908168858481e-05
"YPR052C",-1.09303533611733,6.25355635189679,231.763106890535,6.02042401842705e-08,1.40813417488138e-05
"YER091C",-2.70918598656534,9.12091185532629,229.460750268645,6.29953749775239e-08,1.41940496970799e-05
"YKL209C",-1.38707261489663,8.8879617012265,227.866101725417,6.50208414891428e-08,1.41940496970799e-05
"YBR006W",1.08429176906785,5.5628898452789,220.001380338615,7.62472021880303e-08,1.54821771140014e-05
"YGL253W",-1.39804334288392,10.4804690883803,219.046354560261,7.77648624464186e-08,1.54821771140014e-05
"YOR335C",-1.15043037234135,9.62314434407111,218.89194015735,7.80137188520455e-08,1.54821771140014e-05
"YGR087C",3.39284668421732,2.88563278682209,215.480802965273,8.39527288163984e-08,1.61707770887821e-05
"YMR266W",-0.993449596987712,8.22436932272157,212.849780860254,8.85561813837658e-08,1.65701266252081e-05
