"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"YLR429W",7.26926456893157,7.60404441913846,176.635715072251,1.02930928867659e-17,1.75595616622438e-15,29.7041345226385
"YOR330C",7.05974238485432,6.94597602355051,172.721236690941,1.26772989045838e-17,1.75595616622438e-15,29.6406545587239
"YLR248W",7.88629077317156,8.05059710670442,180.694475124372,8.33339917059143e-18,1.75595616622438e-15,29.6045002161688
"YBR283C",7.98011471897357,8.31119655835094,180.97922731338,8.2122960825522e-18,1.75595616622438e-15,29.5762542998865
"YNL239W",7.01353912578359,7.14888417777091,169.864371150174,1.48035092222691e-17,1.75595616622438e-15,29.5585822447147
"YHR103W",7.3402916190873,7.2198081240067,170.987556461433,1.39237591815228e-17,1.75595616622438e-15,29.5077645415613
"YER094C",7.09840478135682,7.48005165385849,168.5959937273,1.58717446780449e-17,1.75595616622438e-15,29.4980060302743
"YOR127W",6.9335353553944,6.83259591397018,167.116071438362,1.72274288803924e-17,1.75595616622438e-15,29.4836769930361
"YKL073W",7.21980321740989,7.12111272006554,167.037560159976,1.73028501246684e-17,1.75595616622438e-15,29.4134457662516
"YGL140C",7.52291820973327,7.57727513721304,169.138106934677,1.54050671413142e-17,1.75595616622438e-15,29.390655658225
"YDR099W",8.02835103843909,8.38824790181069,174.736612477045,1.13812372915775e-17,1.75595616622438e-15,29.3843894319492
"YBR276C",6.75825675444955,6.65056195471569,163.068181674952,2.16379214738103e-17,1.75595616622438e-15,29.3700685474182
"YPL195W",6.93898543018207,7.01232059081984,163.666617951955,2.09134898842018e-17,1.75595616622438e-15,29.3627782440516
"YIL005W",6.48375419313293,6.70663685640802,161.503939056939,2.36662805131363e-17,1.75595616622438e-15,29.340441985846
"YGR217W",7.2756104207537,7.0959517651199,165.300805387453,1.9068424397843e-17,1.75595616622438e-15,29.339655685654
"YJL039C",8.31938328265435,8.24220463352489,176.639091394104,1.02912639833004e-17,1.75595616622438e-15,29.3274128238746
"YGR218W",8.72478658556167,8.80308449080553,182.30119005082,7.67502568914543e-18,1.75595616622438e-15,29.3166197002172
"YNL267W",6.98282418572973,6.95645559287684,162.546456996257,2.22922105091379e-17,1.75595616622438e-15,29.3138197350123
"YKL173W",6.70074467729088,6.68605713495337,160.997335649213,2.4367660069208e-17,1.75595616622438e-15,29.3018056325696
"YOR362C",7.34145161927615,7.84019573091349,164.606080177506,1.98298047876812e-17,1.75595616622438e-15,29.2968377836322
"YFR024C-A",7.21665134681067,7.51987480524154,163.170262404959,2.15124070962338e-17,1.75595616622438e-15,29.2816887259356
"YMR266W",7.80200615973087,8.14631746376838,167.896765887704,1.64969534719781e-17,1.75595616622438e-15,29.2583162703969
"YEL022W",7.64572387508624,7.70761265694253,166.020587569315,1.83135722218338e-17,1.75595616622438e-15,29.2500608340468
"YHR107C",6.42147167061742,6.52961577706843,158.679566023366,2.78841312419151e-17,1.75595616622438e-15,29.2376458308686
"YER005W",6.72411237105024,6.5482616248334,159.141889459374,2.71401103573755e-17,1.75595616622438e-15,29.2300362085904
"YGR271W",7.61667501121979,7.4269518223565,164.937024204789,1.94629894620003e-17,1.75595616622438e-15,29.2232702794566
"YDL160C",7.62813290553631,7.66519111920179,164.964993982513,1.94323341071602e-17,1.75595616622438e-15,29.2204064492442
"YMR237W",7.55444718386426,7.76347165176254,164.109391098208,2.03947832161049e-17,1.75595616622438e-15,29.2150149006265
"YPL145C",7.87997318303992,8.10617613610805,166.826065046201,1.75078469742639e-17,1.75595616622438e-15,29.1974699054559
"YER167W",7.31303540046493,7.09547729532714,161.478699355791,2.3700690120206e-17,1.75595616622438e-15,29.1961502061404
"YJR042W",6.50912752374374,6.65245253015487,157.69188583527,2.95504781678452e-17,1.75595616622438e-15,29.1956975877013
"YGL151W",6.50588749384688,6.64223035326386,157.339478650257,3.01714923987012e-17,1.75595616622438e-15,29.1822584969415
"YKL176C",7.36060199382071,7.2765301801606,160.933608724822,2.44575066824143e-17,1.75595616622438e-15,29.1629140431024
"YLR247C",7.35558585698156,7.39343379941464,160.837778149341,2.45933067151357e-17,1.75595616622438e-15,29.1609688500507
