Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	2	0.363	5.50964187327824	0.0499918113413023	0.137718488543532
YAL067W-A	chrI	2480	2707	+	228	0	0.228	0	0	0
YAL067C	chrI	7013	9049	-	2037	657	2.037	322.533136966127	16.4223100256178	8.06200786726451
YAL066W	chrI	9807	10460	+	654	33	0.654	50.4587155963303	0.824864887131488	1.26126129530809
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	1267	3.839	330.033862985152	31.669812484715	8.24949530729747
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	17	0.285	59.6491228070175	0.42493039640107	1.4909838470213
YAL063C-A	chrI	22051	23617	-	1567	302	1.567	192.724952137843	7.54876351253665	4.81733472401828
YAL063C	chrI	24000	27968	-	3969	2207	3.969	556.059460821366	55.1659638151271	13.899209829964
YAL062W	chrI	31527	33039	+	1513	1314	1.513	868.473231989425	32.8446200512356	21.7082749842932
YAL061W	chrI	33345	35113	+	1769	1370	1.769	774.448841153194	34.2443907687921	19.3580501802103
YAL060W	chrI	34983	36433	+	1451	10185	1.451	7019.29703652653	254.583299255582	175.453686599298
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	797	0.882	903.628117913832	19.921736819509	22.5870031967222
YAL058W	chrI	37405	39163	+	1759	2359	1.759	1341.10289937464	58.965341477066	33.5220815674054
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	5537	2.845	1946.22144112478	138.402329698395	48.6475675565537
YAL055W	chrI	42142	42884	+	743	442	0.743	594.885598923284	11.0481903064278	14.8697043155152
YAL054C	chrI	42713	45073	-	2361	1672	2.361	708.174502329521	41.7931542813287	17.701463058589
YAL053W	chrI	45675	48312	+	2638	21476	2.638	8141.01592115239	536.812070182904	203.492066028394
