target_id	length	eff_length	est_counts	tpm
YAL069W_mRNA	315	160.833	0	0
YAL068W-A_mRNA	255	107.378	0	0
YAL068C_mRNA	363	206.237	0	0
YAL067W-A_mRNA	228	85.1782	3.53253	1.01678
YAL067C_id001	1782	1622.49	234	3.53593
YAL066W_id001	309	155.303	4	0.631465
YAL065C_mRNA	387	229.364	51.637	5.51956
YAL064W-B_id001	381	223.524	37	4.05832
YAL064C-A_mRNA	381	223.524	73.8355	8.0986
YAL064W_mRNA	285	133.405	52	9.55654
YAL063C-A_id001	1567	1407.49	604	10.5211
YAL063C-A_id006	291	138.798	0	0
YAL063C_mRNA	3969	3809.49	1418.95	9.13209
YAL062W_id001	1513	1353.49	837.409	15.1688
YAL062W_id003	1374	1214.49	362.591	7.31969
YAL061W_id003	1674	1514.49	641.854	10.3906
YAL061W_id001	1254	1094.49	35.146	0.787288
YAL060W_id014	1327	1167.49	2407.05	50.5476
YAL060W_id001	1149	989.487	81.9535	2.03061
YAL059W_id002	879	719.487	689.508	23.4955
YAL059C-A_mRNA	423	264.554	0	0
YAL059W_id001	639	479.487	733.492	37.5048
YAL058W_id001	1759	1599.49	1215.61	18.633
YAL058W_id003	1509	1349.49	521.39	9.47245
YAL056C-A_mRNA	351	194.758	0	0
YAL056W_id006	2807	2647.49	1533.61	14.202
YAL056W_id001	2643	2483.49	929.395	9.17502
YAL055W_id003	697	537.487	97.8332	4.46259
YAL055W_id001	543	383.657	190.167	12.1523
YAL054C_id001	2142	1982.49	913	11.2909
YAL053W_id003	2583	2423.49	6242.31	63.15
YAL053W_id001	2352	2192.49	1350.69	15.1038
YAL051W_mRNA	3144	2984.49	2186	17.9576
YAL049C_id001	2392	2232.49	1502.11	16.4961
YAL049C_id002	741	581.487	1110.75	46.8323
YAL048C_mRNA	1989	1829.49	683.557	9.16039
YAL047W-A_id001	855	695.487	107.98	3.80649
YAL047W-A_id002	330	174.741	0	0
YAL047C_id001	1956	1796.49	716.582	9.77936
YAL047C_id002	1869	1709.49	0.0172827	0.000247864
YAL046C_id001	638	478.487	172.649	8.84633
YAL044W-A_id004	986	826.487	534.369	15.8516
YAL046C_id002	357	200.401	207.12	25.3391
YAL045C_mRNA	309	155.303	0	0
YAL044W-A_id001	333	177.651	467.541	64.5237
YAL044C_id002	721	561.487	1990.34	86.9071
