Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	4	0.363	11.0192837465565	0.102971462952129	0.283667942016884
YAL067W-A	chrI	2480	2707	+	228	0	0.228	0	0	0
YAL067C	chrI	7013	9049	-	2037	122	2.037	59.8919980363279	3.14062962003994	1.54179166423168
YAL066W	chrI	9807	10460	+	654	6	0.654	9.1743119266055	0.154457194428194	0.236173080165434
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	674	3.839	175.566553790049	17.3506915074337	4.51958622230626
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	7	0.285	24.5614035087719	0.180200060166226	0.63228091286395
YAL063C-A	chrI	22051	23617	-	1567	114	1.567	72.7504786215699	2.93468669413568	1.87280580353266
YAL063C	chrI	24000	27968	-	3969	1023	3.969	257.747543461829	26.334951650007	6.6351604056455
YAL062W	chrI	31527	33039	+	1513	850	1.513	561.797752808989	21.8814358773274	14.46228412249
YAL061W	chrI	33345	35113	+	1769	1227	1.769	693.612210288298	31.5864962605656	17.8555660037115
YAL060W	chrI	34983	36433	+	1451	2715	1.451	1871.12336319779	69.8918804787576	48.1680775180962
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	728	0.882	825.396825396825	18.7408062572875	21.2480796567885
YAL058W	chrI	37405	39163	+	1759	1675	1.759	952.24559408755	43.119300111204	24.5135304782286
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	3913	2.845	1375.39543057996	100.73183363292	35.4066199061231
YAL055W	chrI	42142	42884	+	743	268	0.743	360.699865410498	6.89908801779264	9.28544820698875
YAL054C	chrI	42713	45073	-	2361	767	2.361	324.862346463363	19.7447780210707	8.36288776834847
YAL053W	chrI	45675	48312	+	2638	7099	2.638	2691.05382865807	182.748603874291	69.2754374049625
