# Program:featureCounts v2.0.3; Command:"featureCounts" "-F" "GFF" "-p" "-t" "gene" "-g" "ID" "-a" "/media/BioNAS/ag_hallab/DATR/material/reference.gff" "-o" "../results/condition1/9929274/counts.txt" "../results/condition1/9929274/alignment_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../results/condition1/9929274/alignment_sorted.bam
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	0
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7013	9049	-	2037	294
YAL066W	chrI	9807	10460	+	654	17
YAL065C	chrI	11565	11951	-	387	0
YAL064W-B	chrI	11313	15151	+	3839	963
YAL064C-A	chrI	13363	13743	-	381	0
YAL064W	chrI	21566	21850	+	285	4
YAL063C-A	chrI	22051	23617	-	1567	146
YAL063C	chrI	24000	27968	-	3969	1368
YAL062W	chrI	31527	33039	+	1513	1198
YAL061W	chrI	33345	35113	+	1769	1014
YAL060W	chrI	34983	36433	+	1451	7190
YAL059C-A	chrI	36496	36918	-	423	0
YAL059W	chrI	36463	37344	+	882	634
YAL058W	chrI	37405	39163	+	1759	2135
YAL056C-A	chrI	38696	39046	-	351	0
YAL056W	chrI	39196	42040	+	2845	3478
YAL055W	chrI	42142	42884	+	743	332
YAL054C	chrI	42713	45073	-	2361	1111
YAL053W	chrI	45675	48312	+	2638	11412
YAL051W	chrI	48564	51707	+	3144	2897
YAL049C	chrI	51691	54082	-	2392	4183
YAL048C	chrI	52801	54789	-	1989	35
YAL047W-A	chrI	54209	55065	+	857	0
YAL047C	chrI	54931	56886	-	1956	927
YAL046C	chrI	56907	57544	-	638	0
YAL045C	chrI	57488	57796	-	309	0
YAL044W-A	chrI	56955	57990	+	1036	0
YAL044C	chrI	57756	58614	-	859	7117
YAL043C	chrI	58499	61083	-	2585	4742
YAL042C-A	chrI	61231	61608	-	378	0
YAL042W	chrI	61259	62680	+	1422	9091
YAL041W	chrI	62773	65501	+	2729	4917
YAL040C	chrI	65456	67848	-	2393	2041
YAL039C	chrI	68629	70088	-	1460	2164
YAL038W	chrI	71479	73450	+	1972	152124
YAL037C-B	chrI	72326	73300	-	975	0
YAL037C-A	chrI	73371	73710	-	340	0
YAL037W	chrI	73453	76400	+	2948	88
YAL036C	chrI	74176	76207	-	2032	0
YAL035W	chrI	76364	79559	+	3196	16499
YAL034C-B	chrI	79446	79873	-	428	0
YAL034W-A	chrI	79674	80747	+	1074	223
YAL034C	chrI	80549	82602	-	2054	1284
YAL033W	chrI	82685	83397	+	713	763
YAL032C	chrI	83192	84590	-	1399	1304
YAL031W-A	chrI	84669	84977	+	309	0
YAL031C	chrI	84587	87078	-	2492	1459
YAL030W	chrI	87264	88061	+	798	1652
YAL029C	chrI	87855	92270	-	4416	10978
YAL028W	chrI	92409	94566	+	2158	462
YAL027W	chrI	94595	95583	+	989	469
YAL026C-A	chrI	95386	95823	-	438	0
YAL026C	chrI	95630	99697	-	4068	10046
YAL025C	chrI	99939	101168	-	1230	2470
YAL024C	chrI	101565	105872	-	4308	2576
YAL023C	chrI	106141	108718	-	2578	22437
YAL022C	chrI	108731	110471	-	1741	4138
YAL021C	chrI	110536	113406	-	2871	6568
YAL020C	chrI	113468	114672	-	1205	950
YAL019W-A	chrI	114250	114819	+	570	0
YAL019W	chrI	114788	118363	+	3576	5883
YAL018C	chrI	118426	119591	-	1166	21
YAL017W	chrI	120225	124295	+	4071	5680
YAL016C-B	chrI	124307	124492	-	186	19
YAL016C-A	chrI	124755	125069	-	315	0
YAL016W	chrI	124786	126883	+	2098	7170
YAL015C	chrI	126756	128110	-	1355	1673
YAL014C	chrI	128031	129072	-	1042	2205
YAL013W	chrI	129194	130593	+	1400	629
YAL012W	chrI	130436	132100	+	1665	27887
YAL011W	chrI	132169	134210	+	2042	988
YAL010C	chrI	134001	135743	-	1743	804
YAL009W	chrI	135408	136780	+	1373	734
YAL008W	chrI	136431	137718	+	1288	1527
YAL007C	chrI	137408	138453	-	1046	0
YAL005C	chrI	139357	141684	-	2328	0
YAL004W	chrI	137649	142152	+	4504	64
YAL003W	chrI	142032	143496	+	1465	47854
YAL002W	chrI	143550	147630	+	4081	5623
YAL001C	chrI	147594	151166	-	3573	3454
YAR002W	chrI	152204	154114	+	1911	3168
YAR002C-A	chrI	153765	154750	-	986	5996
YAR003W	chrI	154905	156909	+	2005	1749
YAR007C	chrI	156681	158715	-	2035	3948
YAR008W	chrI	158847	159972	+	1126	526
YAR014C	chrI	166565	169021	-	2457	4670
YAR015W	chrI	169272	172008	+	2737	4334
YAR018C	chrI	170177	171735	-	1559	0
YAR019C	chrI	172126	175168	-	3043	1515
YAR019W-A	chrI	174998	175330	+	333	34
YAR020C	chrI	176856	177023	-	168	78
YAR023C	chrI	179099	180697	-	1599	544
YAR027W	chrI	183671	184687	+	1017	2163
YAR028W	chrI	184821	185977	+	1157	76
YAR029W	chrI	185009	186754	+	1746	0
YAR030C	chrI	186033	186857	-	825	0
YAR031W	chrI	186836	187732	+	897	986
YAR033W	chrI	187843	189258	+	1416	873
YAR035W	chrI	190156	192365	+	2210	455
YAR035C-A	chrI	192337	192417	-	81	0
YAR042W	chrI	192583	196349	+	3767	8220
YAR047C	chrI	201467	201787	-	321	104
YAR050W	chrI	203403	208016	+	4614	1136
YAR053W	chrI	208193	209632	+	1440	127
YAR060C	chrI	217157	217492	-	336	52
YAR064W	chrI	220198	220497	+	300	121
YAR066W	chrI	221049	221660	+	612	181
YAR068W	chrI	222406	222891	+	486	151
YAR069C	chrI	224011	224304	-	294	35
YAR070C	chrI	224563	224862	-	300	11
YAR071W	chrI	225460	226863	+	1404	424
YAR073W	chrI	227742	228953	+	1212	71
YAR075W	chrI	228844	229317	+	474	4
YBL113C	chrII	280	2658	-	2379	757
YBL113W-A	chrII	646	1128	+	483	0
YBL112C	chrII	2582	2899	-	318	94
YBL111C	chrII	2907	5009	-	2103	689
YBL109W	chrII	5790	6125	+	336	0
YBL108C-A	chrII	7605	7733	-	129	13
YBL108W	chrII	8177	8482	+	306	0
YBL107W-A	chrII	9268	9372	+	105	19
YBL107C	chrII	9730	10563	-	834	1156
YBL106C	chrII	10847	13879	-	3033	2185
YBL105C	chrII	14104	17965	-	3862	7239
YBL104C	chrII	18076	21318	-	3243	3987
YBL103C	chrII	21573	23802	-	2230	1389
YBL102W	chrII	23879	24968	+	1090	2512
YBL101C	chrII	24777	28406	-	3630	4690
YBL100W-C	chrII	28372	29119	+	748	140
YBL100C	chrII	36989	37303	-	315	0
YBL099W	chrII	36702	39100	+	2399	12774
YBL098W	chrII	39145	40527	+	1383	1213
YBL097W	chrII	40831	43095	+	2265	369
YBL096C	chrII	43132	44042	-	911	0
YBL095W	chrII	42052	44341	+	2290	0
YBL094C	chrII	43765	44097	-	333	0
YBL093C	chrII	43818	45023	-	1206	1982
YBL092W	chrII	45281	45977	+	697	3842
YBL091C-A	chrII	46322	47201	-	880	4952
YBL091C	chrII	47010	48690	-	1681	6800
YBL090W	chrII	48785	49634	+	850	1434
YBL089W	chrII	49510	51278	+	1769	1555
YBL088C	chrII	51019	59382	-	8364	6238
YBL087C	chrII	59593	60845	-	1253	10536
YBL086C	chrII	61142	62726	-	1585	1009
YBL085W	chrII	63674	66938	+	3265	3414
YBL084C	chrII	67169	69445	-	2277	1834
YBL083C	chrII	69658	71093	-	1436	1
YBL082C	chrII	69715	71394	-	1680	40
YBL081W	chrII	71317	73109	+	1793	454
YBL080C	chrII	72944	74748	-	1805	896
YBL079W	chrII	75259	79767	+	4509	12223
