"","logFC","logCPM","F","PValue","FDR"
"YGL009C",-2.9649430176973,8.73870781208402,769.66334913469,2.61678047604238e-10,1.71974812885506e-06
"YGL121C",2.73545182741078,4.7912847731695,581.59688826471,9.55678407928529e-10,3.14035924845315e-06
"YFL014W",4.12758458536307,10.0319246895186,512.908481533034,1.70577977692079e-09,3.73679489797448e-06
"YER103W",2.11938378068916,9.99951585626363,469.204739894914,2.56905709720849e-09,4.22096081071355e-06
"YIL015W",-2.13938965804081,7.99902926200144,430.805591200558,3.80307385480308e-09,4.27963125686746e-06
"YBR072W",3.43000921133034,10.5074435334695,410.323140536502,4.75560343487212e-09,4.27963125686746e-06
"YFL026W",-2.45371747691345,8.37378667000119,399.018596143775,5.40544763719274e-09,4.27963125686746e-06
"YIL121W",-1.41983270006857,6.11630049913606,392.796179689699,5.80916496720937e-09,4.27963125686746e-06
"YOR338W",2.1470552862325,6.61769072895017,392.039496235715,5.86072448445026e-09,4.27963125686746e-06
"YNL145W",-1.65651567982806,7.4744005305671,357.867334686592,8.89704150220612e-09,5.35867503241663e-06
"YHR216W",-1.78219343756037,6.91114375374728,351.489805017449,9.65932721451125e-09,5.35867503241663e-06
"YLR452C",-1.67856524986701,7.24325369694493,350.500565147265,9.78455574999994e-09,5.35867503241663e-06
"YBR012C",1.94053664427588,4.3126928203553,343.184418316405,1.07764168943561e-08,5.44789321766985e-06
"YER062C",1.62697678283379,7.44004163628713,320.881749219641,1.46418610875607e-08,6.6218663286442e-06
"YGR043C",2.76204705560311,4.65469272295499,318.684412771383,1.51138154183906e-08,6.6218663286442e-06
"YGR032W",2.50019793170924,9.4698517204006,309.191019791874,1.73406361564265e-08,7.1226663012522e-06
"YPL222W",1.19688776177314,5.43702495210128,302.17518083688,1.925159891416e-08,7.23127744833049e-06
"YPR007C",3.04191804972285,2.54790655104761,298.208140510172,2.04918068062976e-08,7.23127744833049e-06
"YIR027C",2.23582753066875,4.06295549525981,296.767248013072,2.09060060131283e-08,7.23127744833049e-06
"YKL120W",-2.21440922021679,6.28909904765251,288.933294633872,2.36058080114312e-08,7.75686851255628e-06
"YBR054W",2.96335412160607,8.51493155818754,281.315420069968,2.66542338364862e-08,8.34150594158988e-06
"YJR078W",4.172847809116,4.82898539518239,268.813979704714,3.27795913384674e-08,9.79215792165491e-06
"YPR052C",-1.10179574697055,6.21516545149847,262.601138319322,3.64312623663522e-08,1.04098372292029e-05
"YLR420W",-1.28012227596206,6.78818620632213,257.388467500022,3.98974361632141e-08,1.06608921474023e-05
"YDL021W",2.39238484685666,4.70786514247406,256.472147565634,4.05542154116036e-08,1.06608921474023e-05
"YOR185C",1.27021013596036,6.10456360976976,250.168773028632,4.53849528611338e-08,1.14719196232066e-05
"YJR016C",-1.70335987746451,9.4667870656824,241.336780754003,5.33996684866782e-08,1.29978748627574e-05
"YGR055W",-1.92818829679424,7.54738879110651,235.923579813123,5.91659845096214e-08,1.38871017927583e-05
"YKL209C",-1.39285255531391,8.87812547495594,229.902362324999,6.64938153728902e-08,1.50688742976081e-05
"YER091C",-2.7194105307055,9.10415219555029,225.712347976436,7.22487107100373e-08,1.53491098099453e-05
"YMR266W",-0.997114033645101,8.2083856564409,225.606702211697,7.24014613676666e-08,1.53491098099453e-05
"YOR335C",-1.1467864178795,9.61538085371412,215.392206471116,8.92164927705672e-08,1.83228372027552e-05
"YGL253W",-1.39915494689505,10.4659802326023,213.562067310815,9.27111152200681e-08,1.84635590674633e-05
"YGR087C",3.35786985385764,2.85370561362078,211.607207160955,9.68199848049719e-08,1.87147335334787e-05
"YMR196W",1.34628359889657,7.11773123795144,208.912483532107,1.02365138063353e-07,1.92212482100673e-05
"YHR208W",-2.07884904471268,7.23583344376994,203.826900627838,1.14359570664585e-07,2.08769749557681e-05
"YBR006W",1.08850983463377,5.54745763430879,200.750501471787,1.22446316803403e-07,2.17491133522153e-05
"YER037W",2.41013882632219,5.17032523794293,196.70268573642,1.34189367805081e-07,2.26834300477102e-05
"YOL143C",-1.31265709909194,6.6462606789667,196.530350620039,1.34699504545826e-07,2.26834300477102e-05
"YGL146C",1.57575122943979,3.49187287071649,195.461150206793,1.38061047155875e-07,2.26834300477102e-05
"YJL089W",2.85275209790823,2.74112683623971,193.522519343103,1.44606406796359e-07,2.31793489137968e-05
"YPL274W",-1.17988817652883,5.90141136365906,189.915136730691,1.5705189416926e-07,2.45748821066757e-05
"YIL078W",-1.20480314456381,9.70840991982549,187.828984833368,1.65018076366302e-07,2.52209022762637e-05
"YKL081W",-1.30170141391764,10.2208793097924,183.441926094382,1.83432523579882e-07,2.70124664118559e-05
"YDL229W",-1.3003587672615,11.3655697794572,181.650164229365,1.91665493861785e-07,2.70124664118559e-05
"YPL164C",1.06196526111877,4.99156725730356,181.551571985991,1.92132371347907e-07,2.70124664118559e-05
"YNL015W",1.46304321749035,5.41953587847496,181.330695310912,1.93181059244861e-07,2.70124664118559e-05
"YBR244W",-1.70008925091596,6.00310136568281,178.913313515433,2.05125334964897e-07,2.80850771122772e-05
"YPL061W",-2.27869425062626,10.3714687990889,175.964892817364,2.20931457396e-07,2.9136047103383e-05
"YCL027W",-1.70359822759883,4.2626763144114,175.834351084029,2.21668039435355e-07,2.9136047103383e-05
"YMR015C",-1.30987391181909,7.26082738325441,174.822581532921,2.27450407968854e-07,2.93098839445354e-05
"YJR025C",1.02790305165419,6.09165089266189,170.938620648647,2.51433832502791e-07,3.15899178621565e-05
"YDR218C",3.70293734804543,2.33215958230176,170.620608412572,2.54757402114165e-07,3.15899178621565e-05
"YPL240C",1.85788976347118,11.6362027489885,168.293020456308,2.69539071648137e-07,3.25540445720362e-05
"YBR088C",-1.13243472534108,5.98654468917796,167.8893198954,2.72439508743456e-07,3.25540445720362e-05
"YGL263W",-3.77681046261602,0.56795934344556,166.369596793378,2.95472932424991e-07,3.42827691887894e-05
"YDL181W",1.54769605269835,4.24225491501869,164.629265914738,2.9733990318944e-07,3.42827691887894e-05
"YMR106W-A",2.55375512369092,4.78261858948033,162.064514617237,3.18865958655102e-07,3.50050119124405e-05
"YBR283C",-0.817261110505888,8.34099233162647,161.961535327037,3.19719173815614e-07,3.50050119124405e-05
"YNL231C",-1.32943551516067,6.57059063752242,161.442673120548,3.24314824356752e-07,3.50050119124405e-05
"YBR162C",-1.09229737322092,8.8953546278766,161.194363689374,3.26542278908933e-07,3.50050119124405e-05
"YCL055W",-1.07781649910726,5.36748307267405,160.787212840905,3.30235961438118e-07,3.50050119124405e-05
"YML002W",1.01308745671193,5.67101603172848,159.708526202224,3.40267430884338e-07,3.52652565076303e-05
"YGR019W",0.965726947518118,6.93871027522331,159.37711373805,3.4342307006822e-07,3.52652565076303e-05
"YJL116C",1.81298559201163,6.29644196678634,158.606344653464,3.5090261773203e-07,3.54789539036139e-05
"YOR328W",0.915207065001835,6.10400830386918,157.716000645804,3.59788376764468e-07,3.57045890696039e-05
"YJR107W",0.91113249842733,5.56226977474797,157.20969143268,3.64964043450323e-07,3.57045890696039e-05
"YOR212W",-0.815802624228278,6.50784582437859,156.779413809911,3.69432753611239e-07,3.57045890696039e-05
"YHR054C",2.669644242286,5.87317584907975,151.350715030088,4.31954495020648e-07,4.11421005981985e-05
"YCL030C",-1.43436064263942,7.23017416811876,148.917806150795,4.64106589447776e-07,4.35729786550112e-05
"YNL125C",0.922149872053681,5.64716715468164,148.178525559886,4.7444856591705e-07,4.39165630310824e-05
"YOR177C",1.99558640631282,2.66740155528347,147.377008361821,4.86299582061242e-07,4.40472425586472e-05
"YJL052W",2.12957569362603,9.50187201806811,147.152684557437,4.89264867130439e-07,4.40472425586472e-05
"YER025W",-0.883311273549581,8.58081549039549,145.2622126994,5.18070330129212e-07,4.57819772036014e-05
"YGR124W",-1.00944345418394,9.72588443649084,144.984945058869,5.22466264496365e-07,4.57819772036014e-05
"YDR461W",-2.05039976115394,4.86628530854114,143.739589824193,5.42781901933819e-07,4.69363507830139e-05
"YER044C-A",1.64753588745535,3.2818295857769,141.979883778376,5.7328968086449e-07,4.83173950340852e-05
"YNR068C",1.476934977005,3.51185044504972,141.871685112218,5.75158904321636e-07,4.83173950340852e-05
"YBR041W",-0.738541820165346,6.73577244412307,141.451387783387,5.8265756774215e-07,4.83173950340852e-05
"YER043C",-1.08363765455764,9.49203977286479,141.150582684647,5.88160621230496e-07,4.83173950340852e-05
"YOR184W",-0.984295151810068,8.00138484814564,139.957401115982,6.10620884877627e-07,4.84050194125003e-05
"YJL103C",1.51792634002517,3.99860690029983,139.930927877475,6.11206043467762e-07,4.84050194125003e-05
"YNL209W",-1.17443668599933,11.0817278171235,139.574817376641,6.18042034442866e-07,4.84050194125003e-05
"YPL148C",1.27971073506309,4.1359937401701,139.241439251574,6.24629296071439e-07,4.84050194125003e-05
"YGR035C",-2.67020643680151,4.01990436806479,139.172253614808,6.26053963795272e-07,4.84050194125003e-05
"YOL132W",1.92202523598808,2.87728698089907,138.214486167863,6.45694583913887e-07,4.93430791335124e-05
"YNL160W",2.6676028165709,8.94663209693214,136.696878031092,6.77522130228789e-07,5.11801774696966e-05
"YPL220W",-1.33320731848517,9.51694240182757,134.76758930524,7.21307419684691e-07,5.38685495700885e-05
"YDR214W",1.13742865792086,8.8248560371027,133.120529453448,7.61430576021566e-07,5.62260870293678e-05
"YBL064C",0.886646003969293,6.3758731334971,132.125943484243,7.86973437526909e-07,5.7466549238076e-05
"YGR234W",-1.43951359851281,8.18417415279281,131.544376481711,8.02390278501821e-07,5.79484495638898e-05
"YDR384C",-1.12407735460112,6.27621133431018,129.717787493572,8.53256257185843e-07,5.91898418271887e-05
"YBR121C-A",-0.942412899869663,8.21563382239031,129.684215880918,8.54226737576916e-07,5.91898418271887e-05
"YKL103C",1.07886336955876,7.39267006339074,129.488283684551,8.59920390656073e-07,5.91898418271887e-05
"YBL016W",-0.789158981022958,5.45509503551143,128.641849810945,8.85052935285996e-07,5.91898418271887e-05
"YEL034W",-1.14115301300231,8.14576496368391,128.567005639607,8.87316389060035e-07,5.91898418271887e-05
"YOL055C",1.05122501635306,5.22149857208205,128.382438291469,8.92934468911381e-07,5.91898418271887e-05
"YLR180W",-1.76805276601918,8.24330436241898,128.213745507063,8.98101638224424e-07,5.91898418271887e-05
"YGR070W",1.258962970072,5.39028793969483,128.03955861544,9.03480667261173e-07,5.91898418271887e-05
"YKL161C",1.22379697905769,5.11223137920095,127.933465486303,9.06777144269328e-07,5.91898418271887e-05
"YHL024W",1.07919685568986,4.52195372975963,127.84162274648,9.09643034775724e-07,5.91898418271887e-05
"YER106W",2.69760491521781,0.612606021971743,128.270907632043,9.2239018753941e-07,5.94308658089118e-05
"YDR403W",1.57565424076287,3.49945348643762,127.048749216059,9.34979589180751e-07,5.947178403287e-05
"YFR023W",3.39797072547719,2.07853874074596,126.813237709504,9.46277415061127e-07,5.947178403287e-05
"YKR071C",-0.793573770072044,7.08302920962921,126.577783565439,9.50173055911649e-07,5.947178403287e-05
"YHR140W",1.31798561206765,3.55716897080549,126.293809589384,9.59716927819233e-07,5.95024495247924e-05
"YGL258W",1.12349543014244,3.82924649807945,125.906016078545,9.7272574244076e-07,5.97312561164536e-05
"YGR256W",1.88100263890747,4.30600883216673,125.649362987516,9.8158485401354e-07,5.97312561164536e-05
"YDR285W",1.25302895558843,3.9421872715643,125.12589088985,9.99598226626984e-07,6.02693536274545e-05
"YGL156W",1.41270835993558,6.21849105728247,123.727627289067,1.04993962055868e-06,6.27291198755607e-05
"YBL076C",-1.1695226988187,10.4049996356437,123.44473098101,1.06051884538932e-06,6.27903590261135e-05
"YLR460C",-1.32297322650718,4.26791823813951,122.125338792051,1.11162132858251e-06,6.45411183278573e-05
"YJL038C",1.8445321962273,2.82432749170532,122.0881960729,1.11368688925613e-06,6.45411183278573e-05
"YKR076W",1.12223515034792,5.18424117566466,121.92704455591,1.11955074397075e-06,6.45411183278573e-05
"YGL202W",-0.807400167038381,8.68667202603982,121.123226274215,1.1524215031884e-06,6.55009833340173e-05
"YOR381W-A",2.12086196188701,2.54966454876044,121.052463740722,1.15613421587736e-06,6.55009833340173e-05
"YDL130W-A",1.26831606656172,4.75777572052438,120.310736262061,1.18698068908522e-06,6.65746986942884e-05
"YPR138C",1.14079640152896,6.98239151134175,120.010602978437,1.19988480840714e-06,6.65746986942884e-05
"YOR100C",2.74109556298793,2.42479632671834,119.935034924604,1.2054761327785e-06,6.65746986942884e-05
