Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	4	0.363	11.0192837465565	0.11836777934352	0.32608203675901
YAL067W-A	chrI	2480	2707	+	228	2	0.228	8.7719298245614	0.0591838896717602	0.259578463472633
YAL067C	chrI	7013	9049	-	2037	131	2.037	64.3102601865488	3.87654477350029	1.90306567182145
YAL066W	chrI	9807	10460	+	654	3	0.654	4.58715596330275	0.0887758345076403	0.135742866219634
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	623	3.839	162.281844230268	18.4357816327533	4.80223538232699
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	8	0.285	28.0701754385965	0.236735558687041	0.830651083112424
YAL063C-A	chrI	22051	23617	-	1567	80	1.567	51.0529674537333	2.36735558687041	1.51075659659886
YAL063C	chrI	24000	27968	-	3969	1019	3.969	256.739732930209	30.1541917877618	7.59742801404934
YAL062W	chrI	31527	33039	+	1513	777	1.513	513.549239920687	22.9929411374788	15.1969207782411
YAL061W	chrI	33345	35113	+	1769	1162	1.769	656.868287167891	34.3858398992927	19.4380101183113
YAL060W	chrI	34983	36433	+	1451	2542	1.451	1751.89524465886	75.2227237728073	51.8419874381856
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	638	0.882	723.356009070295	18.8796608052915	21.4055111171106
YAL058W	chrI	37405	39163	+	1759	1586	1.759	901.648664013644	46.9328245097059	26.6815375268368
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	3640	2.845	1279.43760984183	107.714679202604	37.8610471713897
YAL055W	chrI	42142	42884	+	743	236	0.743	317.631224764468	6.98369898126771	9.39932568138319
YAL054C	chrI	42713	45073	-	2361	705	2.361	298.602287166455	20.8623211092955	8.83622240969737
