Geneid	Chr	Start	End	Strand	Length	counts	Length_kb	RPK	CPM	TPM
YAL069W	chrI	335	649	+	315	0	0.315	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0.255	0	0	0
YAL068C	chrI	1807	2169	-	363	4	0.363	11.0192837465565	0.111759474388486	0.307877339913186
YAL067W-A	chrI	2480	2707	+	228	0	0.228	0	0	0
YAL067C	chrI	7013	9049	-	2037	390	2.037	191.458026509573	10.8965487528774	5.34931210254169
YAL066W	chrI	9807	10460	+	654	19	0.654	29.0519877675841	0.53085750334531	0.811708720711484
YAL065C	chrI	11565	11951	-	387	0	0.387	0	0	0
YAL064W-B	chrI	11313	15151	+	3839	1305	3.839	339.932274029695	36.4615285192437	9.49766306831042
YAL064C-A	chrI	13363	13743	-	381	0	0.381	0	0	0
YAL064W	chrI	21566	21850	+	285	16	0.285	56.140350877193	0.447037897553946	1.56855402650507
YAL063C-A	chrI	22051	23617	-	1567	391	1.567	249.521378430121	10.9244886214745	6.97159452551024
YAL063C	chrI	24000	27968	-	3969	2020	3.969	508.944318468128	56.4385345661856	14.2198373812511
YAL062W	chrI	31527	33039	+	1513	1950	1.513	1288.83013879709	54.4827437643871	36.0097447220007
YAL061W	chrI	33345	35113	+	1769	793	1.769	448.275862068966	22.1563157975174	12.5247686814683
YAL060W	chrI	34983	36433	+	1451	3668	1.451	2527.91178497588	102.483438014242	70.6295230973411
YAL059C-A	chrI	36496	36918	-	423	0	0.423	0	0	0
YAL059W	chrI	36463	37344	+	882	965	0.882	1094.10430839002	26.9619731962223	30.5691306079618
YAL058W	chrI	37405	39163	+	1759	3288	1.759	1869.24388857305	91.8662879473358	52.2264286227037
YAL056C-A	chrI	38696	39046	-	351	0	0.351	0	0	0
YAL056W	chrI	39196	42040	+	2845	4452	2.845	1564.85061511424	124.388294994385	43.7217205604166
YAL055W	chrI	42142	42884	+	743	410	0.743	551.816958277254	11.4553461248199	15.4176933039298
YAL054C	chrI	42713	45073	-	2361	1607	2.361	680.643795002118	44.8993688355744	19.0170981938053
YAL053W	chrI	45675	48312	+	2638	12109	2.638	4590.21986353298	338.323868842545	128.250139819009
